trajectory_id,client_id,coach_id,start_date,n_sessions,completed,dropout_reason,satisfaction_1_10,goal_achievement_1_10,evaluation_completed,rematch_requested,evaluation_comment
T00001,K00145,C0072,2023-01-01,3,False,no-longer-wanted,4.0,9.0,True,True,"Ondanks uitstekende doelrealisatie (9/10) is de tevredenheid laag gebleven (4/10), waardoor de coachee het traject voortijdig heeft beëindigd. Dit suggereert dat de aanpak of communicatie niet optimaal aansloot bij de verwachtingen."
T00002,K00615,C0068,2023-01-01,9,True,,7.0,7.0,True,False,Het traject is succesvol afgerond met solide resultaten op beide vlakken: de coachee is tevreden (7/10) en heeft de gestelde doelen goed bereikt (7/10).
T00003,K00471,C0030,2023-01-01,9,True,,,,False,False,
T00004,K00095,C0104,2023-01-02,8,True,,4.0,6.0,True,True,"Het traject is afgerond, maar de lage tevredenheid (4/10) en matige doelrealisatie (6/10) wijzen op discrepantie tussen verwachtingen en resultaten die aandacht verdient."
T00005,K00416,C0113,2023-01-02,12,True,,4.0,6.0,True,True,"Het traject is afgerond, maar zowel tevredenheid (4/10) als doelrealisatie (6/10) bleven onder de verwachtingen; een nabespreking zou helpen om lering te trekken."
T00006,K00119,C0071,2023-01-02,9,True,,7.0,9.0,True,False,"Een zeer succesvol traject: de coachee is tevreden (7/10) en heeft de doelen uitstekend bereikt (9/10), wat een sterke basis biedt voor vervolgstappen."
T00007,K00016,C0025,2023-01-02,5,True,,,,False,False,
T00008,K00220,C0107,2023-01-02,14,True,,6.0,9.0,True,False,"Het traject is goed afgerond met sterke doelrealisatie (9/10); de tevredenheid (6/10) was redelijk, wat aangeeft dat de resultaten hebben opgewogen tegen enkele kleine voorbehouden."
T00009,K00144,C0116,2023-01-03,12,True,,6.0,9.0,True,False,"Uitstekende doelrealisatie bereikt, hoewel de tevredenheid matig bleef; het traject is succesvol afgerond ondanks wat weerstand onderweg."
T00010,K00267,C0033,2023-01-04,7,True,,7.0,9.0,True,False,Sterke doelrealisatie met goede tevredenheid; een geslaagd traject met duidelijke vooruitgang en betrokkenheid van de coachee.
T00011,K00634,C0088,2023-01-04,3,True,,5.0,6.0,True,True,"Het traject is afgerond, maar zowel tevredenheid als doelrealisatie bleven onder verwachting; verdere inspanning nodig voor duurzame resultaten."
T00012,K00602,C0049,2023-01-04,1,False,no-longer-wanted,3.0,4.0,True,True,Traject voortijdig beëindigd op verzoek van de coachee; minimale vooruitgang bereikt en lage tevredenheid duiden op mismatch in aanpak.
T00013,K00092,C0058,2023-01-04,9,True,,5.0,7.0,True,True,Redelijke doelrealisatie bereikt ondanks matige tevredenheid; het traject is afgerond maar kon beter aansluiten bij de verwachtingen.
T00014,K00467,C0096,2023-01-05,9,True,,6.0,9.0,True,False,Sterke doelrealisatie geboekt met acceptabele tevredenheid; een werkzaam traject dat de gestelde doelen goed heeft gerealiseerd.
T00015,K00540,C0031,2023-01-05,6,True,,,,False,False,
T00016,K00373,C0108,2023-01-06,5,True,,,,False,True,
T00017,K00366,C0084,2023-01-07,10,True,,7.0,8.0,True,False,Goed afgerond traject met solide doelrealisatie en goede tevredenheid; de coachee heeft tastbare vooruitgang geboekt.
T00018,K00473,C0110,2023-01-07,11,True,,5.0,9.0,True,False,Ondanks lagere tevredenheid is een zeer sterke doelrealisatie bereikt; het traject leverde concrete resultaten op ondanks voorbehouden.
T00019,K00249,C0063,2023-01-07,14,True,,6.0,7.0,True,False,Bevredigend afgerond traject met redelijke doelrealisatie; voldoende vooruitgang maar nog ruimte voor verdere ontwikkeling.
T00020,K00486,C0084,2023-01-08,3,False,disappeared,5.0,7.0,True,False,Traject voortijdig beëindigd door uitval van de coachee; ondanks matige tevredenheid was nog vooruitgang in doelrealisatie zichtbaar.
T00021,K00520,C0034,2023-01-10,4,True,,5.0,7.0,True,False,Redelijk afgerond traject met acceptabele doelrealisatie ondanks matige tevredenheid; de coachee bereikt de gestelde doelen gedeeltelijk.
T00022,K00228,C0059,2023-01-12,10,True,,7.0,9.0,True,False,Uitstekend traject afgerond met sterke doelrealisatie en goede tevredenheid; een succesvolle samenwerking met duidelijke resultaten.
T00023,K00219,C0005,2023-01-12,1,False,no-longer-wanted,5.0,9.0,True,False,Traject voortijdig beëindigd op initiatief van de coachee; ondanks sterke doelrealisatie paste het traject niet meer bij de wensen.
T00024,K00234,C0077,2023-01-13,9,True,,5.0,4.0,True,True,Traject afgerond maar met teleurstellende resultaten op beide fronten; doelrealisatie en tevredenheid bleven sterk achter.
T00025,K00537,C0095,2023-01-13,2,False,disappeared,,,False,False,
T00026,K00504,C0114,2023-01-13,4,False,other,6.0,6.0,True,False,Traject onderbroken om overige redenen met matige vorderingen; zowel tevredenheid als doelrealisatie bereikten niet het gewenste niveau.
T00027,K00620,C0101,2023-01-13,9,True,,,,False,False,
T00028,K00164,C0114,2023-01-15,6,True,,,,False,False,
T00029,K00613,C0072,2023-01-16,9,True,,7.0,9.0,True,False,Uitstekend afgerond traject met sterke doelrealisatie en goede tevredenheid; een zeer geslaagde samenwerking met tastbare resultaten.
T00030,K00374,C0020,2023-01-16,1,False,disappeared,,,False,True,
T00031,K00022,C0108,2023-01-16,4,False,external-coach,6.0,8.0,True,False,Traject voortijdig beëindigd naar externe coach; acceptabele doelrealisatie bereikt ondanks matige tevredenheid.
T00032,K00335,C0119,2023-01-17,5,True,,4.0,7.0,True,True,"Traject afgerond met redelijke doelrealisatie, maar lage tevredenheid duidt op communicatie- of verwachtingsproblemen."
T00033,K00601,C0103,2023-01-18,7,True,,8.0,8.0,True,False,Zeer succesvol afgerond traject met sterke doelrealisatie en hoge tevredenheid; een waardevol traject voor de coachee.
T00034,K00427,C0103,2023-01-18,3,False,disappeared,6.0,7.0,True,False,Traject voortijdig beëindigd door uitval van de coachee; ondanks redelijke doelrealisatie kon het traject niet worden afgemaakt.
T00035,K00259,C0116,2023-01-20,16,True,,5.0,9.0,True,False,"Uitstekende doelrealisatie bereikt ondanks gemiddelde tevredenheid; de inhoudelijke resultaten spreken voor zich. Een traject met sterke outcomes, al had meer aandacht voor de procesbeleveing voordeel gehad."
T00036,K00453,C0084,2023-01-21,7,True,,3.0,6.0,True,True,Matige voortgang met beperkte tevredenheid; de doelrealisatie bleef onder verwachting. Dit traject verdient reflectie op afstemming en betrokkenheid.
T00037,K00496,C0012,2023-01-21,7,True,,8.0,6.0,True,False,"Goed enthousiasme en tevredenheid, hoewel de doelrealisatie matig uitviel. Een traject met positieve energie, maar de concrete resultaten liepen iets achter."
T00038,K00415,C0039,2023-01-22,9,True,,5.0,9.0,True,False,Opmerkelijk sterke doelrealisatie ondanks gematigde tevredenheid; de inhoudelijke voortgang was solide. Meer aandacht voor comfort en ervaring zou het traject compleet hebben gemaakt.
T00039,K00143,C0006,2023-01-22,6,True,,4.0,6.0,True,False,Beperkte tevredenheid en matige doelrealisatie; dit traject heeft niet optimaal opgeleverd. Verdere afstemming op verwachtingen en aanpak zou nodig zijn geweest.
T00040,K00563,C0068,2023-01-22,3,False,external-coach,5.0,8.0,True,False,"Voortijdig beëindigd door coachwissel, ondanks goede voortgang op doelrealisatie. Jammer dat dit traject niet kon worden afgerond onder dezelfde begeleiding."
T00041,K00121,C0002,2023-01-22,12,True,,7.0,6.0,True,False,"Redelijk prettig traject met goed enthousiasme, hoewel de doelrealisatie matig bleef. Een vriendelijk verloop met ruimte voor meer concrete resultaten."
T00042,K00403,C0081,2023-01-23,9,True,,6.0,8.0,True,False,Solide traject met goed evenwicht tussen tevredenheid en doelrealisatie. Een betrouwbare voortgang met positieve uitkomsten.
T00043,K00306,C0039,2023-01-24,8,True,,7.0,8.0,True,False,Sterke tevredenheid en goede doelrealisatie; een succesvol traject met duidelijke voortgang en positieve betrokkenheid.
T00044,K00582,C0117,2023-01-25,1,False,external-coach,3.0,8.0,True,True,"Goedbereikt inhoudelijk resultaat, maar lage tevredenheid en voortijdige beëindiging door coachwissel. Dit traject verdient kritische reflectie op samenwerking en begeleiding."
T00045,K00358,C0072,2023-01-26,12,True,,4.0,8.0,True,True,Goed doelrealisatie ondanks lage tevredenheid; de concrete voortgang was aanwezig. Meer aandacht voor de persoonlijke beleving zou dit traject hebben versterkt.
T00046,K00312,C0092,2023-01-26,9,True,,3.0,7.0,True,False,Matige tevredenheid met beperkte doelrealisatie; dit traject had meer potentieel. Betere afstemming en focus zouden nodig zijn geweest voor betere resultaten.
T00047,K00007,C0094,2023-01-26,5,False,external-coach,,,False,False,
T00048,K00235,C0076,2023-01-27,5,True,,5.0,6.0,True,False,"Gemiddeld traject met gelijkmatige, maar matige resultaten op beide vlakken. Ruimte voor meer concretisering en betrokkenheid."
T00049,K00449,C0052,2023-02-04,2,False,no-longer-wanted,5.0,7.0,True,True,Voortijdig stopgezet omdat de coachee geen behoefte meer had; redelijke voortgang maar onvoldoende engagement om door te zetten.
T00050,K00630,C0022,2023-02-06,10,True,,6.0,9.0,True,False,Zeer goed traject met sterke doelrealisatie en solide tevredenheid; een succesvolle samenwerking met duidelijke resultaten.
T00051,K00455,C0019,2023-02-08,4,True,,4.0,8.0,True,True,"Goed doelrealisatie ondanks lage tevredenheid; inhoudelijk solide voortgang, maar de persoonlijke beleveing bleef achter."
T00052,K00256,C0035,2023-02-10,4,False,disappeared,4.0,6.0,True,True,Voortijdig beëindigd door uitval van de coachee; matige voortgang en lage tevredenheid suggereren dat betere voorbereiding nodig was geweest.
T00053,K00528,C0024,2023-02-10,6,True,,5.0,6.0,True,False,Gemiddeld traject met gelijkmatige resultaten; redelijke voortgang maar zonder bijzondere sterkte op beide dimensies.
T00054,K00424,C0055,2023-02-11,5,True,,5.0,7.0,True,True,Aanvaardbaar traject met gelijke tevredenheid en redelijke doelrealisatie; een stabiele voortgang zonder uitschieters.
