client_id,signup_date,age_band,gender,sector,employer_size,role_level,language,region,primary_theme,secondary_theme,idiosyncratic_needs,desired_coach_characteristics,wsp_directive_exploratory,wsp_structured_flexible,wsp_challenging_supportive,pers_open,pers_consc,pers_extra,pers_agree,pers_neuro,urgency,intake_narrative
K00001,2023-12-06,35-44,F,transport_logistics,medium,employee,nl,Noord-Brabant,balans werk/prive,stress,time-management|workload-negotiation|energy-management,want:balance|style:challenging,0.4952,0.1669,0.1625,0.2077,0.359,0.4097,0.368,0.8026,low,Ik merk dat de werkdruk in de logistiek me steeds vaker meeneemt naar huis; mijn energie raakt op en ik wil beter leren waar mijn grenzen liggen. Coaching helpt me om mijn werkdag beter in te richten en te onderhandelen over wat realistisch is.
K00002,2023-07-27,55-64,M,public,small,employee,nl,Noord-Holland,assertiviteit,,saying-no|speaking-up,want:confidence|want:stress_resilience,0.6448,0.6506,0.5735,0.547,0.7061,0.1269,0.542,0.7946,med,Na jaren in de publieke sector ben ik ervan bewust dat ik moeite heb om nee te zeggen en mijn standpunt in te nemen; dit kost me veel energie. Ik wil assertiever worden en beter durven spreken wat ik echt denk.
K00003,2023-01-03,35-44,F,insurance_finance,medium,employee,nl|other,Noord-Brabant,zelfonderzoek,,imposter-feelings|pattern-awareness,style:flexible|want:confidence,0.5962,0.7587,0.8922,0.3978,0.279,0.2092,0.3705,0.3269,low,Ondanks mijn rol in de financiële sector voel ik me soms als een bedrieger die niet echt goed genoeg is; ik wil begrijpen waar dit gevoel vandaan komt. Coaching helpt me patronen in mezelf te herkennen en daar verandering in aan te brengen.
K00004,2023-12-15,25-34,M,professional_services,medium,employee,nl|en,Flevoland,zelfonderzoek,persoonlijk leiderschap,limiting-beliefs|decision-making|energy-management,want:leadership_dev|style:structured|style:same-sector,0.7339,0.4771,0.709,0.7723,0.6323,0.5164,0.31,0.3207,med,Ik merk dat bepaalde overtuigingen me tegenhouden in mijn carrière en beslissingen neem uit angst in plaats van uit keuze. Nu is het moment om aan mezelf te werken en mijn energie bewuster in te zetten.
K00005,2023-02-05,35-44,F,transport_logistics,small,employee,nl,Zeeland,persoonlijk leiderschap,leiderschap,self-direction|difficult-conversations,style:experienced,0.8634,0.8384,0.6569,0.5308,0.4823,0.347,0.6442,0.5594,med,Als medewerker in transport wil ik meer eigenaarschap nemen en beter kunnen omgaan met lastige gesprekken met mijn team en leidinggevende. Coaching geeft me de tools om meer zelfstandig leiding te geven.
K00006,2023-10-21,35-44,F,transport_logistics,medium,employee,nl,Overijssel,communicatie,zelfonderzoek,nonviolent-communication|identity-clarity|feedback-skills,want:communication|want:self_insight,0.4424,0.6387,0.7459,0.4167,0.3659,0.9572,0.1776,0.317,med,Ik realiseer me dat mijn communicatie soms botst en dat ik niet altijd duidelijk ben over wie ik eigenlijk ben en wat ik wil. Coaching helpt me empathischer en helderder te communiceren en meer grip op mijn identiteit te krijgen.
K00007,2023-01-26,35-44,F,insurance_finance,medium,manager,nl,Noord-Holland,stress,persoonlijk leiderschap,value-alignment|decision-making|workload-negotiation,want:stress_resilience,0.8962,0.3835,0.8355,0.645,0.8414,0.7735,0.6337,0.4443,med,"Ik merk dat mijn waarden en de bedrijfskeuzes steeds meer uit elkaar groeien, en dat leidt tot stress in mijn managersrol. Ik wil beter leren onderhandelen over mijn werkbelasting en meer regie nemen op wat ik echt belangrijk vind."
K00008,2023-11-10,55-64,F,transport_logistics,medium,employee,nl,Zuid-Holland,balans werk/prive,zelfvertrouwen,visibility|boundary-setting|speaking-up,style:same-sector|want:stress_resilience,0.6488,0.9588,0.7653,0.5718,0.1332,0.8969,0.1876,0.5402,high,"Na jaren in logistiek voel ik me onzichtbaar en kan ik mijn grenzen niet stellen. Nu ik 55+ ben, wil ik nog iets veranderen voordat het te laat is: durven spreken en mijn privéleven terugwinnen."
K00009,2023-09-05,35-44,F,zorg,small,employee,nl,Utrecht,persoonlijk leiderschap,stress,boundary-setting|recovery-routines|perfectionism,style:supportive|style:challenging|want:assertiveness,0.8262,0.272,0.1157,0.2377,0.625,0.5562,0.1388,0.5491,low,"Ik ben mezelf voorbijgelopen met perfectionism en uitputting in de zorg. Ik zoek ondersteuning om grenzen in te stellen en bewust rust in te bouwen, zodat ik als leider weer authentiek kan zijn."
K00010,2023-11-12,35-44,F,professional_services,large,employee,nl|en,Utrecht,persoonlijk leiderschap,stress,recovery-routines|perfectionism|self-direction|value-alignment,want:stress_resilience|style:structured,0.631,0.2089,0.7109,0.7717,0.1573,0.4416,0.7068,0.7559,low,"Ik wil stoppen met mezelf overbelasten door perfectionism en ontdekken wat echt van mezelf is, niet wat ik denk dat ik moet bereiken in mijn professionele rol."
